WBS,Equipment_Name,Equation_Key,Design_Parameter,Min_Range,Max_Range,Formula
Polypropylene/PVC - residuals,pp_mov_eq_res,"=IF(D82>12,""pp_mov_eq_large"",""pp_mov_eq_small"")",=res_valve_size,"=VLOOKUP($E82,eq_table_cl,P$4,FALSE)","=VLOOKUP($E82,eq_table_cl,O$4,FALSE)","=IF(D82=0,0,IF(OR(D82>P82,D82<Q82),""contact vendor"",F82*D82^G82+H82*LN(D82)+I82+J82*EXP(K82*D82)+L82"
Stainless Steel - residuals,ss_mov_eq_res,ss_mov_eq,=res_valve_size,"=VLOOKUP($E83,eq_table_cl,P$4,FALSE)","=VLOOKUP($E83,eq_table_cl,O$4,FALSE)","=IF(D83=0,0,IF(OR(D83>P83,D83<Q83),""contact vendor"",F83*D83^G83+H83*LN(D83)+I83+J83*EXP(K83*D83)+L83"
Cast Iron - residuals,ci_mov_eq_res,ci_mov_eq,=res_valve_size,"=VLOOKUP($E84,eq_table_cl,P$4,FALSE)","=VLOOKUP($E84,eq_table_cl,O$4,FALSE)","=IF(D84=0,0,IF(OR(D84>P84,D84<Q84),""contact vendor"",F84*D84^G84+H84*LN(D84)+I84+J84*EXP(K84*D84)+L84"
Polypropylene/PVC - Ferric Chloride,pp_mov_eq_coag,"=IF(D85>12,""pp_mov_eq_large"",""pp_mov_eq_small"")",=coag_valve_size,"=VLOOKUP($E85,eq_table_cl,P$4,FALSE)","=VLOOKUP($E85,eq_table_cl,O$4,FALSE)","=IF(D85=0,0,IF(OR(D85>P85,D85<Q85),""contact vendor"",F85*D85^G85+H85*LN(D85)+I85+J85*EXP(K85*D85)+L85"
Polypropylene/PVC - Polymer,pp_mov_eq_polymer,"=IF(D86>12,""pp_mov_eq_large"",""pp_mov_eq_small"")",=polymer_valve_size,"=VLOOKUP($E86,eq_table_cl,P$4,FALSE)","=VLOOKUP($E86,eq_table_cl,O$4,FALSE)","=IF(D86=0,0,IF(OR(D86>P86,D86<Q86),""contact vendor"",F86*D86^G86+H86*LN(D86)+I86+J86*EXP(K86*D86)+L86"
Stainless Steel - Polymer,ss_mov_eq_polymer,ss_mov_eq,=polymer_valve_size,"=VLOOKUP($E87,eq_table_cl,P$4,FALSE)","=VLOOKUP($E87,eq_table_cl,O$4,FALSE)","=IF(D87=0,0,IF(OR(D87>P87,D87<Q87),""contact vendor"",F87*D87^G87+H87*LN(D87)+I87+J87*EXP(K87*D87)+L87"
Cast Iron - Polymer,ci_mov_eq_polymer,ci_mov_eq,=polymer_valve_size,"=VLOOKUP($E88,eq_table_cl,P$4,FALSE)","=VLOOKUP($E88,eq_table_cl,O$4,FALSE)","=IF(D88=0,0,IF(OR(D88>P88,D88<Q88),""contact vendor"",F88*D88^G88+H88*LN(D88)+I88+J88*EXP(K88*D88)+L88"
Polypropylene/PVC - Bypass,pp_mov_eq_bp,"=IF(D89>12,""pp_mov_eq_large"",""pp_mov_eq_small"")",=bypass_valve_size,"=VLOOKUP($E89,eq_table_cl,P$4,FALSE)","=VLOOKUP($E89,eq_table_cl,O$4,FALSE)","=IF(D89=0,0,IF(OR(D89>P89,D89<Q89),""contact vendor"",F89*D89^G89+H89*LN(D89)+I89+J89*EXP(K89*D89)+L89"
Stainless Steel - Bypass,ss_mov_eq_bp,ss_mov_eq,=bypass_valve_size,"=VLOOKUP($E90,eq_table_cl,P$4,FALSE)","=VLOOKUP($E90,eq_table_cl,O$4,FALSE)","=IF(D90=0,0,IF(OR(D90>P90,D90<Q90),""contact vendor"",F90*D90^G90+H90*LN(D90)+I90+J90*EXP(K90*D90)+L90"
Cast Iron - Bypass,ci_mov_eq_bp,ci_mov_eq,=bypass_valve_size,"=VLOOKUP($E91,eq_table_cl,P$4,FALSE)","=VLOOKUP($E91,eq_table_cl,O$4,FALSE)","=IF(D91=0,0,IF(OR(D91>P91,D91<Q91),""contact vendor"",F91*D91^G91+H91*LN(D91)+I91+J91*EXP(K91*D91)+L91"
Polypropylene/PVC - Influent and treated water,pp_man_eq,"=IF(D93>12,""pp_man_eq_large"",""pp_man_eq_small"")",=in_valve_size,"=VLOOKUP($E93,eq_table_cl,P$4,FALSE)","=VLOOKUP($E93,eq_table_cl,O$4,FALSE)","=IF(D93=0,0,IF(OR(D93>P93,D93<Q93),""contact vendor"",F93*D93^G93+H93*LN(D93)+I93+J93*EXP(K93*D93)+L93"
Stainless Steel - Influent and treated water,ss_man_eq,ss_man_eq,=in_valve_size,"=VLOOKUP($E94,eq_table_cl,P$4,FALSE)","=VLOOKUP($E94,eq_table_cl,O$4,FALSE)","=IF(D94=0,0,IF(OR(D94>P94,D94<Q94),""contact vendor"",F94*D94^G94+H94*LN(D94)+I94+J94*EXP(K94*D94)+L94"
Cast Iron - Influent and treated water,ci_bfv_eq,"=IF(D95>12,""ci_bfv_eq_large"",""ci_bfv_eq_small"")",=in_valve_size,"=VLOOKUP($E95,eq_table_cl,P$4,FALSE)","=VLOOKUP($E95,eq_table_cl,O$4,FALSE)","=IF(D95=0,0,IF(OR(D95>P95,D95<Q95),""contact vendor"",F95*D95^G95+H95*LN(D95)+I95+J95*EXP(K95*D95)+L95"
Polypropylene/PVC - Process,pp_man_eq_proc,"=IF(D96>12,""pp_man_eq_large"",""pp_man_eq_small"")",=tank_valve_size,"=VLOOKUP($E96,eq_table_cl,P$4,FALSE)","=VLOOKUP($E96,eq_table_cl,O$4,FALSE)","=IF(D96=0,0,IF(OR(D96>P96,D96<Q96),""contact vendor"",F96*D96^G96+H96*LN(D96)+I96+J96*EXP(K96*D96)+L96"
Stainless Steel - Process,ss_man_eq_proc,ss_man_eq,=tank_valve_size,"=VLOOKUP($E97,eq_table_cl,P$4,FALSE)","=VLOOKUP($E97,eq_table_cl,O$4,FALSE)","=IF(D97=0,0,IF(OR(D97>P97,D97<Q97),""contact vendor"",F97*D97^G97+H97*LN(D97)+I97+J97*EXP(K97*D97)+L97"
Cast Iron - Process,ci_bfv_eq_proc,"=IF(D98>12,""ci_bfv_eq_large"",""ci_bfv_eq_small"")",=tank_valve_size,"=VLOOKUP($E98,eq_table_cl,P$4,FALSE)","=VLOOKUP($E98,eq_table_cl,O$4,FALSE)","=IF(D98=0,0,IF(OR(D98>P98,D98<Q98),""contact vendor"",F98*D98^G98+H98*LN(D98)+I98+J98*EXP(K98*D98)+L98"
Polypropylene/PVC - Backwash,pp_man_eq_back,"=IF(D99>12,""pp_man_eq_large"",""pp_man_eq_small"")",=back_valve_size,"=VLOOKUP($E99,eq_table_cl,P$4,FALSE)","=VLOOKUP($E99,eq_table_cl,O$4,FALSE)","=IF(D99=0,0,IF(OR(D99>P99,D99<Q99),""contact vendor"",F99*D99^G99+H99*LN(D99)+I99+J99*EXP(K99*D99)+L99"
